sample_id,ticker,sector,cold_start_weeks,model,augmentation_method,augmentation_ratio,n_synthetic_points,MAE,RMSE,MAPE
AAPL_w04_s0017,AAPL,technology,4,naive,statistical,0.5,10,15.65289531890686,16.946686941097845,9.483955331574432
AAPL_w04_s0017,AAPL,technology,4,moving_average,statistical,0.5,10,15.571534539188677,16.871566445356102,9.4354549892485
AAPL_w04_s0017,AAPL,technology,4,linear_trend,statistical,0.5,10,32.09239659740034,35.046388864108096,19.43574780849748
AAPL_w04_s0017,AAPL,technology,4,naive,statistical,1.0,20,26.802870599329896,27.57845062325552,16.130617518187538
AAPL_w04_s0017,AAPL,technology,4,moving_average,statistical,1.0,20,24.659112531936717,25.49997837798374,14.852692202172985
AAPL_w04_s0017,AAPL,technology,4,linear_trend,statistical,1.0,20,37.920738084967105,40.202093139650124,22.89635693680107
AAPL_w04_s0017,AAPL,technology,4,naive,statistical,2.0,40,43.83906298281618,44.31749665342395,26.286139200643525
AAPL_w04_s0017,AAPL,technology,4,moving_average,statistical,2.0,40,43.582335568884496,44.063556824815834,26.133100260957022
AAPL_w04_s0017,AAPL,technology,4,linear_trend,statistical,2.0,40,60.009321899651944,61.553737183000784,36.07029445148712
AAPL_w04_s0018,AAPL,technology,4,naive,statistical,0.5,10,11.887851871707555,13.05390669766113,7.137111937638741
AAPL_w04_s0018,AAPL,technology,4,moving_average,statistical,0.5,10,13.313810893215264,14.364575122428045,8.00625303544064
AAPL_w04_s0018,AAPL,technology,4,linear_trend,statistical,0.5,10,27.620675191999492,27.82202956252383,16.85378327944383
AAPL_w04_s0018,AAPL,technology,4,naive,statistical,1.0,20,27.2114327639345,27.740683679637552,16.477039465741512
AAPL_w04_s0018,AAPL,technology,4,moving_average,statistical,1.0,20,24.24795141559459,24.84042281847507,14.67075794322745
AAPL_w04_s0018,AAPL,technology,4,linear_trend,statistical,1.0,20,42.05350774635026,42.24784901862017,25.66774324702411
AAPL_w04_s0018,AAPL,technology,4,naive,statistical,2.0,40,45.818493058151546,46.1347782488164,27.818291610478912
AAPL_w04_s0018,AAPL,technology,4,moving_average,statistical,2.0,40,43.89903992358012,44.22905339434321,26.648359249591852
AAPL_w04_s0018,AAPL,technology,4,linear_trend,statistical,2.0,40,59.87821411782879,60.00058456478038,36.527175064474335
AAPL_w04_s0019,AAPL,technology,4,naive,statistical,0.5,10,11.730522911844911,13.022723581009032,6.988874621557287
AAPL_w04_s0019,AAPL,technology,4,moving_average,statistical,0.5,10,12.810071121689928,14.196951510243784,7.627908076588516
